,0
0,8.80505084991455
1,8.774398977106268
2,8.802200680687314
3,8.805251706031061
4,8.818140378812464
5,8.819539369321337
6,8.823077405085328
7,8.828910196331185
8,8.829358877959075
9,8.82483477120871
10,8.819354265043051
11,8.783930168495521
12,8.783350148476845
13,8.784916673907796
14,8.789360803915255
15,8.790572810646713
16,8.791998703287256
17,8.792610235381545
18,8.794175479952143
19,8.793515100529056
20,8.793121105402856
21,8.792552392064678
22,8.793953451096202
23,8.795740144077318
24,8.793926258799447
25,8.7949727844907
26,8.79529639130808
27,8.792783054478495
28,8.792061591911995
29,8.789100338912911
30,8.78867287176392
31,8.78607391467815
32,8.787953418363292
33,8.788742702172962
34,8.7842846056583
35,8.781932241217024
36,8.780878539891123
37,8.781491359289124
38,8.78166379202695
39,8.783075598499659
40,8.782900125308524
41,8.782330914425444
42,8.784492680692333
43,8.784233226023805
44,8.783053147279215
45,8.781843821912542
46,8.782426556899594
47,8.780592284637905
48,8.743611860176134
49,8.750585961001953
50,8.752074423426402
51,8.756179185296224
52,8.758172140469249
53,8.75230412115036
54,8.733029875869892
55,8.736343135418347
56,8.741736616892823
57,8.745131298038462
58,8.747897877750626
59,8.749471879852605
60,8.749903298852448
61,8.75153930136498
62,8.753035834829973
63,8.754586013485627
64,8.754771203593048
65,8.754499519658712
66,8.75514162831155
67,8.753769100689498
68,8.754170456296722
69,8.75477085099724
70,8.755116437539224
71,8.755527675403322
72,8.756034523703354
73,8.73748035404816
74,8.737355695562323
75,8.736941422666913
76,8.72806442927437
77,8.728345191896194
78,8.728215077164537
79,8.728269938723326
80,8.72869301556648
81,8.727987816242637
82,8.726893264686872
83,8.727185659029853
84,8.727431054631255
85,8.727921293148842
86,8.726127705369123
87,8.726820053380886
88,8.72706496945575
89,8.72043399885715
90,8.720617886521046
91,8.722129440202933
92,8.72020406702313
93,8.72024752220457
94,8.719451319018535
95,8.719590965756357
96,8.712893572855938
97,8.71185220331414
98,8.706501658417277
99,8.69710734537704
100,8.655514144099557
101,8.669419478768765
102,8.644173423001629
103,8.565098858704912
104,8.532349038388887
105,8.5518900980292
106,8.555897185727451
107,8.558765676477087
108,8.55908884654901
109,8.55959622011093
110,8.559419012818132
111,8.556465384309126
112,8.553822211737765
113,8.552242109325732
114,8.554722526605499
115,8.556205978786334
116,8.555824769940939
117,8.556720982619211
118,8.559080890808985
119,8.560714779904307
120,8.560869602608383
121,8.561835103711484
122,8.561622640884714
123,8.562547071081987
124,8.56347759241758
125,8.563682481607222
126,8.547377810575808
127,8.549509342565807
128,8.547339640746202
129,8.548620089157934
130,8.549859319964012
131,8.550643812847392
132,8.548787888364517
133,8.548626055645137
134,8.54987826760827
135,8.550644968432414
136,8.55244039242907
137,8.553729092762854
138,8.553056170654884
139,8.544363058848521
140,8.547632357608958
141,8.546943861209138
142,8.547981862843365
143,8.548619414584808
144,8.549893178327013
145,8.547511090229365
146,8.541518303379663
147,8.544762861616217
148,8.540740882095688
149,8.542242219967173
150,8.543621881234685
151,8.544650098940807
152,8.544985837305665
153,8.546448871071895
154,8.541475175938027
155,8.54320741266319
156,8.54257784431309
157,8.543493616870252
158,8.543592636658556
159,8.54284300822963
160,8.54384249316331
161,8.537233983982905
162,8.53867807539155
163,8.535816166586002
164,8.532666888904775
165,8.532696788323452
166,8.531127361538783
167,8.529922016198617
168,8.530467958673873
169,8.531486128838115
170,8.53086530844878
171,8.531611020331798
