1     |  [0/21305]	|| 0.565 | (0.565)	|| 10.6897 | (10.6897)	|| 0.0000   |   (0.0000)	||
1     |  [10/21305]	|| 0.065 | (0.140)	|| 10.6749 | (10.6686)	|| 0.0000   |   (0.0000)	||
1     |  [20/21305]	|| 0.248 | (0.128)	|| 10.6872 | (10.6576)	|| 0.0000   |   (0.0000)	||
1     |  [30/21305]	|| 0.065 | (0.119)	|| 10.6650 | (10.6462)	|| 0.0000   |   (0.0000)	||
1     |  [40/21305]	|| 0.212 | (0.117)	|| 10.6193 | (10.6488)	|| 0.0000   |   (0.0000)	||
1     |  [50/21305]	|| 0.064 | (0.114)	|| 10.5978 | (10.6474)	|| 0.0000   |   (0.0000)	||
1     |  [60/21305]	|| 0.186 | (0.113)	|| 10.6031 | (10.6447)	|| 0.0000   |   (0.0000)	||
1     |  [70/21305]	|| 0.064 | (0.112)	|| 10.5845 | (10.6427)	|| 0.0000   |   (0.0000)	||
1     |  [80/21305]	|| 2.693 | (0.150)	|| 10.6679 | (10.6379)	|| 0.0000   |   (0.0000)	||
1     |  [90/21305]	|| 0.063 | (0.194)	|| 10.6353 | (10.6341)	|| 0.0000   |   (0.0000)	||
1     |  [100/21305]	|| 2.272 | (0.250)	|| 10.6618 | (10.6344)	|| 0.0000   |   (0.0000)	||
1     |  [110/21305]	|| 0.056 | (0.271)	|| 10.5832 | (10.6339)	|| 0.0000   |   (0.0000)	||
1     |  [120/21305]	|| 2.366 | (0.313)	|| 10.5416 | (10.6297)	|| 0.0000   |   (0.0000)	||
1     |  [130/21305]	|| 0.063 | (0.325)	|| 10.6143 | (10.6272)	|| 0.0000   |   (0.0000)	||
1     |  [140/21305]	|| 1.851 | (0.351)	|| 10.6064 | (10.6258)	|| 0.0000   |   (0.0000)	||
1     |  [150/21305]	|| 0.057 | (0.362)	|| 10.6358 | (10.6261)	|| 0.0000   |   (0.0000)	||
1     |  [160/21305]	|| 2.452 | (0.382)	|| 10.6804 | (10.6279)	|| 0.0000   |   (0.0000)	||
1     |  [170/21305]	|| 0.057 | (0.389)	|| 10.6608 | (10.6269)	|| 0.0000   |   (0.0000)	||
1     |  [180/21305]	|| 2.216 | (0.410)	|| 10.6005 | (10.6280)	|| 0.0000   |   (0.0000)	||
1     |  [190/21305]	|| 0.057 | (0.415)	|| 10.6690 | (10.6285)	|| 0.0000   |   (0.0000)	||
1     |  [200/21305]	|| 2.041 | (0.426)	|| 10.0004 | (10.6143)	|| 0.0116   |   (0.0002)	||
1     |  [210/21305]	|| 0.059 | (0.433)	|| 10.6284 | (10.5987)	|| 0.0000   |   (0.0028)	||
1     |  [220/21305]	|| 2.191 | (0.447)	|| 10.5819 | (10.5977)	|| 0.0000   |   (0.0027)	||
1     |  [230/21305]	|| 0.064 | (0.448)	|| 10.7120 | (10.5991)	|| 0.0000   |   (0.0025)	||
1     |  [240/21305]	|| 2.386 | (0.459)	|| 10.5874 | (10.6003)	|| 0.0000   |   (0.0024)	||
1     |  [250/21305]	|| 0.062 | (0.462)	|| 10.5636 | (10.6010)	|| 0.0000   |   (0.0023)	||
1     |  [260/21305]	|| 2.000 | (0.471)	|| 10.7113 | (10.6022)	|| 0.0000   |   (0.0023)	||
1     |  [270/21305]	|| 0.061 | (0.472)	|| 10.6704 | (10.6028)	|| 0.0000   |   (0.0022)	||
1     |  [280/21305]	|| 2.471 | (0.480)	|| 10.6327 | (10.6038)	|| 0.0000   |   (0.0021)	||
1     |  [290/21305]	|| 0.062 | (0.480)	|| 10.6348 | (10.6004)	|| 0.0000   |   (0.0020)	||
1     |  [300/21305]	|| 2.165 | (0.487)	|| 10.4979 | (10.6005)	|| 0.0000   |   (0.0020)	||
1     |  [310/21305]	|| 0.058 | (0.488)	|| 10.5357 | (10.6007)	|| 0.0000   |   (0.0019)	||
1     |  [320/21305]	|| 2.331 | (0.497)	|| 10.6953 | (10.6015)	|| 0.0000   |   (0.0018)	||
1     |  [330/21305]	|| 0.062 | (0.497)	|| 10.6218 | (10.6029)	|| 0.0000   |   (0.0018)	||
1     |  [340/21305]	|| 2.357 | (0.504)	|| 10.6252 | (10.6025)	|| 0.0000   |   (0.0017)	||
1     |  [350/21305]	|| 0.056 | (0.505)	|| 10.6278 | (10.6037)	|| 0.0000   |   (0.0017)	||
1     |  [360/21305]	|| 2.682 | (0.511)	|| 10.5399 | (10.6031)	|| 0.0000   |   (0.0016)	||
1     |  [370/21305]	|| 0.056 | (0.510)	|| 10.5551 | (10.6039)	|| 0.0000   |   (0.0016)	||
1     |  [380/21305]	|| 2.256 | (0.515)	|| 10.6625 | (10.6048)	|| 0.0000   |   (0.0015)	||
1     |  [390/21305]	|| 0.063 | (0.515)	|| 10.4244 | (10.6032)	|| 0.0000   |   (0.0015)	||
1     |  [400/21305]	|| 2.254 | (0.521)	|| 10.7392 | (10.6030)	|| 0.0000   |   (0.0015)	||
1     |  [410/21305]	|| 0.057 | (0.521)	|| 10.6260 | (10.6024)	|| 0.0000   |   (0.0014)	||
1     |  [420/21305]	|| 2.269 | (0.527)	|| 10.6456 | (10.6021)	|| 0.0000   |   (0.0014)	||
1     |  [430/21305]	|| 0.057 | (0.527)	|| 10.5908 | (10.6025)	|| 0.0000   |   (0.0014)	||
